t_s,x
12.800000,-0.02464666
12.900000,-0.06258475
13.000000,0.02275698
13.100000,-0.10181280
13.200000,0.19200227
13.300000,0.07431524
13.400000,-0.09896274
13.500000,-0.02216288
13.600000,0.16572910
13.700000,0.26137411
13.800000,0.44997666
13.900000,0.59480141
14.000000,0.22239563
14.100000,0.01457679
14.200000,-0.15768426
14.300000,0.21002882
14.400000,0.04836455
14.500000,0.09787983
14.600000,0.05584580
14.700000,0.11757725
14.800000,0.30131851
14.900000,0.16471529
15.000000,0.12000690
15.100000,-0.00547618
15.200000,-0.10879841
15.300000,0.08710577
15.400000,0.14883204
15.500000,0.41694779
15.600000,0.17714811
15.700000,0.28303974
15.800000,0.05130806
15.900000,-0.03970629
16.000000,-0.02752130
16.100000,0.02193319
16.200000,0.46818120
16.300000,0.02132927
16.400000,0.27387241
16.500000,0.02614900
16.600000,0.29578256
16.700000,0.22426256
16.800000,0.13503044
16.900000,0.14674052
17.000000,0.04510471
17.100000,0.21440546
17.200000,0.09320273
17.300000,-0.02453996
17.400000,-0.04758473
17.500000,0.15706162
17.600000,0.37283231
17.700000,0.18215676
17.800000,0.14514697
17.900000,0.20123388
18.000000,0.36351443
18.100000,0.19770756
18.200000,0.09868168
18.300000,0.31482256
18.400000,0.23015410
18.500000,0.36579354
18.600000,0.17254962
18.700000,-0.04411084
18.800000,-0.07052846
18.900000,0.40270240
19.000000,0.40510349
19.100000,0.11152492
19.200000,0.07946997
19.300000,0.36119089
19.400000,-0.02932488
19.500000,-0.01630339
19.600000,0.20407631
19.700000,0.06382252
19.800000,0.12320233
19.900000,0.10492723
20.000000,0.17700279
20.100000,0.34963491
20.200000,0.17229120
20.300000,0.25309599
20.400000,-0.15628109
20.500000,0.15715068
20.600000,0.02936557
20.700000,-0.03404858
20.800000,0.01723349
20.900000,0.09890107
21.000000,0.28958030
21.100000,-0.02160396
21.200000,0.18604465
21.300000,0.08034787
21.400000,0.10779790
21.500000,0.30787710
21.600000,0.23876214
21.700000,0.36166591
21.800000,0.13759621
21.900000,0.05580932
22.000000,0.13403842
22.100000,0.19754679
22.200000,0.17634604
22.300000,0.02354720
22.400000,0.19124859
22.500000,0.21317109
22.600000,0.53867002
22.700000,0.44403323
22.800000,0.02338133
22.900000,0.10301065
23.000000,-0.06079737
23.100000,0.07583700
23.200000,0.21866471
23.300000,0.33100755
23.400000,0.06286967
23.500000,0.05986770
23.600000,-0.14570095
23.700000,0.16431104
23.800000,0.03633676
23.900000,0.10608319
24.000000,0.05584906
24.100000,0.16764774
24.200000,-0.08146366
24.300000,-0.04079966
24.400000,0.47424087
24.500000,-0.02473817
24.600000,0.00294409
24.700000,0.43724135
24.800000,0.59080047
24.900000,-0.01633308
25.000000,0.09349949
25.100000,0.17296806
25.200000,0.38598493
25.300000,-0.01505904
25.400000,0.09384226
25.500000,0.23351974
25.600000,0.18326124
25.700000,0.04410853
25.800000,0.06819173
25.900000,-0.12691757
26.000000,0.05377801
26.100000,0.04525462
26.200000,0.11472383
26.300000,0.02011557
26.400000,0.17843498
26.500000,0.26373951
26.600000,0.13077013
26.700000,0.15312273
26.800000,0.08215569
26.900000,0.08587994
27.000000,-0.01692671
27.100000,0.13669114
27.200000,0.07303729
27.300000,0.41049926
27.400000,0.31393073
27.500000,0.12878590
27.600000,-0.05712530
27.700000,-0.08821033
27.800000,0.26789070
27.900000,0.10225933
28.000000,0.11676332
28.100000,-0.21847424
28.200000,0.17672015
28.300000,0.08993484
28.400000,-0.12139567
28.500000,-0.02174931
28.600000,0.09429479
28.700000,0.05436305
28.800000,0.01139464
28.900000,0.03519189
29.000000,0.00957840
29.100000,0.07765141
29.200000,0.25600286
29.300000,-0.33049537
29.400000,0.02122453
29.500000,0.09866026
29.600000,0.10373746
29.700000,-0.00746681
29.800000,-0.22907069
29.900000,0.08670047
30.000000,0.29745548
30.100000,-0.21723920
30.200000,0.13030538
30.300000,-0.06368676
30.400000,-0.02412844
30.500000,-0.17839160
30.600000,-0.07879254
30.700000,0.18500765
30.800000,0.07647134
30.900000,0.26422031
31.000000,0.17464633
31.100000,0.06689486
31.200000,0.26201633
31.300000,0.04596365
31.400000,0.12151297
31.500000,-0.04873275
31.600000,0.01475179
31.700000,-0.10880800
31.800000,0.14232503
31.900000,-0.19320033
32.000000,0.11578974
32.100000,-0.02636355
32.200000,0.18238581
32.300000,0.13568730
32.400000,0.31008998
32.500000,0.15585337
32.600000,-0.20656960
32.700000,0.01090531
32.800000,-0.16683945
32.900000,-0.05998995
33.000000,0.24654412
33.100000,0.09886378
33.200000,-0.10381079
33.300000,-0.16889818
33.400000,-0.01250114
33.500000,-0.21970694
33.600000,-0.13148803
33.700000,0.02057998
33.800000,0.17003075
33.900000,0.09828264
34.000000,-0.34173998
34.100000,0.05748530
34.200000,0.00592336
34.300000,0.04571220
34.400000,0.23011782
34.500000,-0.34763837
34.600000,-0.12720408
34.700000,0.03791423
34.800000,-0.28668520
34.900000,0.15907348
35.000000,-0.00191440
35.100000,0.07011163
35.200000,-0.12565312
35.300000,0.08219379
35.400000,0.11123626
35.500000,-0.01700540
35.600000,-0.03284781
35.700000,-0.02252281
35.800000,-0.18543788
35.900000,-0.04837504
36.000000,-0.05652615
36.100000,0.02070777
36.200000,0.10632323
36.300000,-0.19982546
36.400000,-0.05515611
36.500000,0.18523308
36.600000,-0.13542758
36.700000,-0.15457060
36.800000,0.01100692
36.900000,0.11384074
37.000000,-0.01118749
37.100000,0.18272345
37.200000,0.14107848
37.300000,0.12908829
37.400000,0.08956795
37.500000,0.34665581
37.600000,-0.01177896
37.700000,-0.27083113
37.800000,0.26225517
37.900000,-0.04082676
38.000000,0.04716257
38.100000,0.22127361
38.200000,-0.20633996
38.300000,-0.14901644
38.400000,-0.19881267
38.500000,-0.07818446
38.600000,0.11211413
38.700000,0.12760947
38.800000,0.09119154
38.900000,-0.16979666
39.000000,-0.28401210
39.100000,0.05811141
39.200000,-0.01561639
39.300000,0.12027499
39.400000,0.17783473
39.500000,0.08249611
39.600000,0.16701670
39.700000,0.07580063
39.800000,0.12487021
39.900000,-0.07675709
40.000000,-0.00368016
40.100000,0.04700958
40.200000,0.14351749
40.300000,-0.04456553
40.400000,0.07487405
40.500000,-0.03008955
40.600000,-0.02347705
40.700000,0.12820545
40.800000,-0.30353395
40.900000,-0.17976689
41.000000,-0.19856924
41.100000,-0.33832042
41.200000,-0.10096266
41.300000,0.12051839
41.400000,-0.03771784
41.500000,0.03271117
41.600000,0.18175215
41.700000,0.20859818
41.800000,0.00023009
41.900000,0.22515420
42.000000,0.04570473
42.100000,-0.09557936
42.200000,-0.06253655
42.300000,-0.21626276
42.400000,-0.14001730
42.500000,-0.05661941
42.600000,0.11602626
42.700000,0.25456310
42.800000,-0.19834856
42.900000,0.05371491
43.000000,-0.16406496
43.100000,0.06554573
43.200000,-0.03371176
43.300000,-0.27144691
43.400000,0.15339656
43.500000,-0.07305650
43.600000,-0.04080064
43.700000,-0.13910521
43.800000,-0.07681756
43.900000,0.08996454
44.000000,-0.01352034
44.100000,0.06783419
44.200000,0.05960418
44.300000,0.21176184
44.400000,-0.02500132
44.500000,-0.19178407
44.600000,0.16765439
44.700000,-0.05369372
44.800000,0.17005490
44.900000,0.06068698
45.000000,-0.04875825
45.100000,0.03820273
45.200000,0.28023811
45.300000,0.28936441
45.400000,0.00022397
45.500000,0.00577490
45.600000,0.13498091
45.700000,-0.14894403
45.800000,0.04929814
45.900000,0.01500120
46.000000,0.07034340
46.100000,-0.09613953
46.200000,-0.20001134
46.300000,-0.28754754
46.400000,-0.13641786
46.500000,-0.04636042
46.600000,-0.01765612
46.700000,0.31423768
46.800000,0.19562651
46.900000,-0.11310892
47.000000,0.04654465
47.100000,-0.06446665
47.200000,-0.03829366
47.300000,0.03757090
47.400000,0.10147669
47.500000,-0.02252181
47.600000,0.19174117
47.700000,-0.13381521
47.800000,0.05102028
47.900000,0.44413160
48.000000,0.07722629
48.100000,0.22954646
48.200000,0.02262686
48.300000,0.10520674
48.400000,0.00539554
48.500000,-0.00197398
48.600000,-0.09149046
48.700000,0.10549389
48.800000,-0.09026449
48.900000,0.14297525
49.000000,0.21206114
49.100000,0.12232702
49.200000,0.00399035
49.300000,0.10958160
49.400000,0.00542800
49.500000,0.21067178
49.600000,-0.20143034
49.700000,0.01948702
49.800000,-0.21964826
49.900000,-0.13480115
50.000000,0.28978137
50.100000,0.20350347
50.200000,-0.02446998
50.300000,-0.11917796
50.400000,-0.32951051
50.500000,0.03423416
50.600000,0.47823183
50.700000,0.18715098
50.800000,0.03665442
50.900000,0.19268798
51.000000,-0.12385231
51.100000,0.08131762
51.200000,0.12721553
51.300000,0.09425347
51.400000,0.22702060
51.500000,0.18404831
51.600000,0.22758824
51.700000,0.01615130
51.800000,0.24752965
51.900000,0.37716465
52.000000,-0.04638649
52.100000,-0.04599126
52.200000,0.32036620
52.300000,0.09844754
52.400000,0.32451052
52.500000,0.04711394
52.600000,0.33262059
52.700000,0.14430013
52.800000,0.18544561
52.900000,0.38614161
53.000000,0.09075087
53.100000,0.01335314
53.200000,0.07891779
53.300000,0.20171247
53.400000,-0.12206039
53.500000,0.18970256
53.600000,0.00256889
53.700000,0.24148301
53.800000,-0.28600910
53.900000,-0.05918774
54.000000,-0.23183710
54.100000,-0.11526823
54.200000,0.04021376
54.300000,-0.03102552
54.400000,-0.02385386
54.500000,-0.01702747
54.600000,0.04798958
54.700000,-0.13396685
54.800000,0.12289334
54.900000,0.10630123
55.000000,0.06401163
55.100000,0.08061480
55.200000,0.04369778
55.300000,0.30172108
55.400000,-0.02787958
55.500000,-0.04891520
55.600000,-0.11069977
55.700000,-0.15782679
55.800000,-0.18785224
55.900000,-0.13544694
56.000000,-0.02308049
56.100000,0.03857179
56.200000,-0.01129331
56.300000,-0.14507412
56.400000,0.08537065
56.500000,0.05701158
56.600000,-0.07098392
56.700000,-0.15325001
56.800000,0.05726011
56.900000,0.01388019
57.000000,-0.21582298
57.100000,0.00080199
57.200000,0.07259878
57.300000,-0.11104484
57.400000,0.02171704
57.500000,-0.23027635
57.600000,0.19513356
57.700000,0.18377635
57.800000,-0.03792808
57.900000,0.07037859
58.000000,-0.34098316
58.100000,-0.14330006
58.200000,-0.02512950
58.300000,-0.15496734
58.400000,0.13244145
58.500000,0.32614728
58.600000,-0.15735816
58.700000,-0.11388220
58.800000,0.03932509
58.900000,0.23722775
59.000000,-0.20313359
59.100000,-0.00036707
59.200000,0.23319228
59.300000,-0.29482153
59.400000,-0.22587212
59.500000,-0.09367581
59.600000,-0.10497927
59.700000,0.08614174
59.800000,-0.00089184
59.900000,-0.29899309
60.000000,0.05321713
60.100000,-0.09179197
60.200000,0.19901543
60.300000,-0.08613391
60.400000,-0.07791391
60.500000,0.09292990
60.600000,0.10450807
60.700000,0.06056431
60.800000,-0.25072630
60.900000,0.08978263
61.000000,-0.14094250
61.100000,0.04537208
61.200000,-0.21310046
61.300000,0.07408877
61.400000,-0.10867202
61.500000,-0.18674817
61.600000,0.12609314
61.700000,0.04473241
61.800000,-0.09055307
61.900000,0.23891738
62.000000,-0.03437433
62.100000,0.03230357
62.200000,0.07133301
62.300000,-0.06003639
62.400000,0.07069658
62.500000,-0.09080941
62.600000,-0.07308746
62.700000,0.18883534
62.800000,-0.16862373
62.900000,-0.36083908
63.000000,0.23892009
63.100000,0.36704687
63.200000,-0.07218449
63.300000,-0.30577929
63.400000,-0.06363894
63.500000,-0.06344107
63.600000,-0.02203415
63.700000,-0.18738223
63.800000,0.06196014
63.900000,0.05371781
64.000000,-0.25843285
64.100000,0.08146541
64.200000,0.29430774
64.300000,0.01168599
64.400000,-0.06789492
64.500000,-0.03988011
64.600000,0.07251144
64.700000,-0.28025829
64.800000,0.00180507
64.900000,-0.07833374
65.000000,0.26650815
65.100000,-0.05149463
65.200000,0.21226645
65.300000,-0.22440001
65.400000,0.03970674
65.500000,0.00259178
65.600000,-0.16955213
65.700000,-0.02967961
65.800000,0.14706818
65.900000,-0.09062461
66.000000,-0.29377179
66.100000,-0.03229920
66.200000,-0.17681199
66.300000,-0.09929556
66.400000,-0.05797253
66.500000,-0.26723252
66.600000,-0.25005994
66.700000,0.08393517
66.800000,-0.05225458
66.900000,-0.35408231
67.000000,0.13654560
67.100000,0.07245150
67.200000,-0.09340251
67.300000,-0.16457532
67.400000,0.16078046
67.500000,0.05606919
67.600000,0.35703087
67.700000,0.07057619
67.800000,0.06291908
67.900000,-0.01163551
68.000000,0.12577977
68.100000,0.08141438
68.200000,0.17461301
68.300000,-0.09090539
68.400000,-0.08213869
68.500000,-0.07390555
68.600000,0.10643770
68.700000,0.21639159
68.800000,-0.07631501
68.900000,-0.08982558
69.000000,0.00523370
69.100000,-0.07853918
69.200000,0.12496749
69.300000,-0.34859591
69.400000,-0.15548269
69.500000,-0.18610524
69.600000,-0.40793955
69.700000,-0.20552648
69.800000,-0.18449894
69.900000,-0.08789983
70.000000,0.11347330
70.100000,-0.10001660
70.200000,-0.22318913
70.300000,-0.08216327
70.400000,0.08411910
70.500000,-0.21307865
70.600000,-0.20338306
70.700000,0.02873347
70.800000,-0.09376252
70.900000,0.02070986
71.000000,-0.05467615
71.100000,0.04542481
71.200000,-0.22184776
71.300000,-0.06912838
71.400000,-0.09805301
71.500000,-0.25341335
71.600000,-0.30570062
71.700000,0.03126629
71.800000,-0.12208110
71.900000,-0.25101013
72.000000,-0.08946441
72.100000,0.09245780
72.200000,-0.41182824
72.300000,-0.31069058
72.400000,-0.23021975
72.500000,0.11938226
72.600000,-0.03970984
72.700000,0.02602994
72.800000,-0.25093483
72.900000,-0.25558611
73.000000,-0.02585510
73.100000,-0.08717261
73.200000,0.00186320
73.300000,-0.13121650
73.400000,-0.07707226
73.500000,-0.11838361
73.600000,-0.03842639
73.700000,-0.04371946
73.800000,-0.42706528
73.900000,-0.52992453
74.000000,-0.06668902
74.100000,-0.05094793
74.200000,-0.36773510
74.300000,-0.48871390
74.400000,-0.19257375
74.500000,-0.07977659
74.600000,0.03186384
74.700000,-0.17394058
74.800000,-0.30760123
74.900000,-0.37533520
75.000000,-0.22875951
75.100000,-0.26773956
75.200000,-0.38390072
75.300000,0.07602741
75.400000,0.03269321
75.500000,-0.06702902
75.600000,-0.35105835
75.700000,-0.10576189
75.800000,-0.14082695
75.900000,-0.15578808
76.000000,-0.05225083
76.100000,-0.15205992
76.200000,-0.14265192
76.300000,-0.16073759
76.400000,-0.22424631
76.500000,-0.53570325
76.600000,-0.24756298
76.700000,-0.33737443
76.800000,-0.45630626
76.900000,-0.01095949
77.000000,-0.01461597
77.100000,-0.07401334
77.200000,-0.21371280
77.300000,-0.04819270
77.400000,-0.26316881
77.500000,-0.23233317
77.600000,-0.44293502
77.700000,-0.23369375
77.800000,-0.29661803
77.900000,-0.50634545
78.000000,-0.30732357
78.100000,-0.30460266
78.200000,-0.01667311
78.300000,-0.16530238
78.400000,-0.30415333
78.500000,-0.26522804
78.600000,-0.30339412
78.700000,-0.34374347
78.800000,-0.47031415
78.900000,-0.33473312
79.000000,-0.42121736
79.100000,-0.47767722
79.200000,-0.21544892
79.300000,-0.21923044
79.400000,-0.53915382
79.500000,-0.30709730
79.600000,-0.15250504
79.700000,-0.15291983
79.800000,-0.16812589
79.900000,-0.31718791
80.000000,-0.44234596
80.100000,-0.44302208
80.200000,-0.22501842
80.300000,-0.22510531
80.400000,-0.11382454
80.500000,-0.14102019
80.600000,-0.32548219
80.700000,-0.49002363
80.800000,-0.32592385
80.900000,-0.23052603
81.000000,-0.28394246
81.100000,-0.35179902
81.200000,-0.23327811
81.300000,-0.34788263
81.400000,-0.37574377
81.500000,-0.22875036
81.600000,-0.33142426
81.700000,-0.24750941
81.800000,-0.22872267
81.900000,-0.43932990
82.000000,-0.36129057
82.100000,-0.07399397
82.200000,-0.46053796
82.300000,-0.59199070
82.400000,-0.55775902
82.500000,-0.26412049
82.600000,-0.26154369
82.700000,-0.29954357
82.800000,-0.11669546
82.900000,-0.68621838
83.000000,-0.21149133
83.100000,-0.03273077
83.200000,-0.41810513
83.300000,-0.29316968
83.400000,-0.34086894
83.500000,-0.37296280
83.600000,-0.26691305
83.700000,0.00264466
83.800000,0.05955980
83.900000,-0.27439832
84.000000,0.06489300
84.100000,-0.23552227
84.200000,0.03065099
84.300000,-0.25778031
84.400000,-0.21961954
84.500000,-0.19065649
84.600000,0.22823737
84.700000,-0.12992076
84.800000,-0.36557803
84.900000,-0.09140612
85.000000,-0.27434996
85.100000,-0.28922386
85.200000,-0.07971466
85.300000,-0.20115161
85.400000,-0.15040842
85.500000,-0.19999485
85.600000,-0.15247443
85.700000,-0.16102051
85.800000,-0.50177321
85.900000,-0.08640198
86.000000,-0.33266980
86.100000,-0.42715188
86.200000,-0.21220201
86.300000,-0.20163224
86.400000,-0.32615551
86.500000,-0.08989589
86.600000,-0.41276229
86.700000,-0.27827489
86.800000,-0.31269971
86.900000,-0.23038665
87.000000,-0.18642250
87.100000,-0.39268693
87.200000,-0.13679135
87.300000,-0.23184828
87.400000,-0.52716782
87.500000,-0.55406670
87.600000,-0.25019710
87.700000,-0.31430004
87.800000,-0.30196434
87.900000,-0.29803108
88.000000,-0.25816158
88.100000,-0.14304818
88.200000,-0.43828018
88.300000,-0.45589904
88.400000,-0.43700289
88.500000,-0.22725699
88.600000,-0.10433086
88.700000,-0.33290740
88.800000,-0.66066676
88.900000,-0.53591674
89.000000,-0.40053380
89.100000,-0.35586999
89.200000,-0.33934387
89.300000,-0.26231138
89.400000,-0.33352490
89.500000,-0.13009196
89.600000,-0.39560199
89.700000,-0.43161467
89.800000,-0.22523067
89.900000,-0.51441857
90.000000,-0.22967757
90.100000,-0.28332017
90.200000,-0.32016264
90.300000,-0.07045763
90.400000,-0.40506559
90.500000,-0.00622358
90.600000,-0.35738294
90.700000,-0.50991890
90.800000,-0.30500274
90.900000,-0.49595525
91.000000,-0.46704016
91.100000,-0.28956558
91.200000,-0.27550669
91.300000,-0.44848467
91.400000,-0.19761756
91.500000,-0.18729361
91.600000,-0.16235295
91.700000,-0.27823302
91.800000,-0.14885188
91.900000,-0.64045684
92.000000,-0.41717034
92.100000,-0.50560044
92.200000,-0.37189264
92.300000,-0.46483295
92.400000,-0.41330026
92.500000,-0.09286794
92.600000,-0.40539969
92.700000,-0.33033307
92.800000,-0.43229794
92.900000,-0.41753055
93.000000,-0.42937426
93.100000,-0.36500958
93.200000,-0.24750515
93.300000,-0.19776784
93.400000,-0.38443153
93.500000,-0.33253532
93.600000,-0.57851251
93.700000,-0.41963700
93.800000,-0.25318530
93.900000,-0.28192836
94.000000,-0.37146562
94.100000,-0.27944194
94.200000,-0.35854285
94.300000,-0.26554160
94.400000,-0.40205730
94.500000,-0.50864751
94.600000,-0.40034369
94.700000,-0.91194788
94.800000,-0.44039104
94.900000,-1.02855717
95.000000,-0.72890916
95.100000,-0.41515592
95.200000,-0.41126780
95.300000,-0.64496744
95.400000,-0.57232802
95.500000,-0.25809289
95.600000,-0.52307671
95.700000,-0.12274269
95.800000,-0.45903457
95.900000,-0.39769535
96.000000,-0.21958276
96.100000,-0.44707752
96.200000,-0.61614877
96.300000,-0.48178340
96.400000,-0.48318702
96.500000,-0.67287511
96.600000,-0.51819529
96.700000,-0.59370810
96.800000,-0.34720899
96.900000,-0.47631363
97.000000,-0.54929402
97.100000,-0.51205103
97.200000,-0.47071932
97.300000,-0.39696593
97.400000,-0.64512288
97.500000,-0.65193031
97.600000,-0.30696485
97.700000,-0.53778532
97.800000,-0.67353491
97.900000,-0.39390814
98.000000,-0.38592955
98.100000,-0.68414281
98.200000,-0.40987904
98.300000,-0.34213022
98.400000,-0.40805830
98.500000,-0.37702196
98.600000,-0.68120302
98.700000,-0.42349646
98.800000,-0.50996214
98.900000,-0.52127092
99.000000,-0.32991912
99.100000,-0.24735867
99.200000,-0.21726921
99.300000,-0.26477906
99.400000,-0.47474434
99.500000,-0.39955856
99.600000,-0.35346565
99.700000,-0.45026643
99.800000,-0.44265752
99.900000,-0.34168227
100.000000,-0.46116917
100.100000,-0.51386784
100.200000,-0.47795051
100.300000,-0.33289804
100.400000,-0.43800868
100.500000,-0.36809178
100.600000,-0.30604313
100.700000,-0.46434757
100.800000,-0.29418541
100.900000,-0.36053477
101.000000,-0.59184279
101.100000,-0.19477394
101.200000,-0.48929228
101.300000,-0.65507940
101.400000,-0.56576759
101.500000,-0.56492740
101.600000,-0.40375773
101.700000,-0.44305703
101.800000,-0.43268634
101.900000,-0.28212041
102.000000,-0.31439463
102.100000,-0.32030700
102.200000,-0.31467349
102.300000,-0.27581972
102.400000,-0.68231804
102.500000,-0.43780232
102.600000,-0.71404492
102.700000,-0.38253919
102.800000,-0.39470862
102.900000,-0.21934300
103.000000,-0.19220962
103.100000,-0.32340042
103.200000,-0.42564974
103.300000,-0.27678475
103.400000,-0.43992574
103.500000,-0.36074384
103.600000,-0.21239785
103.700000,-0.46032936
103.800000,-0.26222619
103.900000,-0.28528718
104.000000,-0.52509440
104.100000,-0.23019531
104.200000,-0.27841029
104.300000,-0.36221993
104.400000,-0.49398228
104.500000,-0.54289010
104.600000,-0.50041501
104.700000,-0.32536859
104.800000,-0.57022320
104.900000,-0.35984030
105.000000,-0.59264733
105.100000,-0.44606164
105.200000,-0.39891840
105.300000,-0.06418424
105.400000,-0.61796434
105.500000,-0.19150479
105.600000,-0.38921109
105.700000,-0.33370006
105.800000,-0.36962592
105.900000,-0.33111663
106.000000,-0.42858576
106.100000,-0.18142629
106.200000,-0.47543394
106.300000,-0.26247500
106.400000,-0.52954414
106.500000,-0.45962941
106.600000,-0.59193063
106.700000,-0.36070124
106.800000,-0.22298800
106.900000,-0.45968391
107.000000,-0.50022611
107.100000,-0.65101934
107.200000,-0.50596482
107.300000,-0.68364863
107.400000,-0.57288443
107.500000,-0.40297933
107.600000,-0.24426877
107.700000,-0.03215707
107.800000,-0.51674927
107.900000,-0.21567147
108.000000,-0.36895607
108.100000,-0.41142385
108.200000,-0.34467709
108.300000,-0.40821022
108.400000,-0.40890687
108.500000,-0.48761436
108.600000,-0.63674461
108.700000,-0.62255707
108.800000,-0.30589329
108.900000,-0.44257740
109.000000,-0.48302763
109.100000,-0.39229731
109.200000,-0.27295115
109.300000,-0.37761410
109.400000,-0.50173910
109.500000,-0.21319013
109.600000,-0.15626504
109.700000,-0.31205696
109.800000,-0.22317963
109.900000,-0.17163156
110.000000,-0.18749513
110.100000,-0.29889625
110.200000,-0.30839913
110.300000,-0.32277768
110.400000,-0.56223926
110.500000,-0.29821013
110.600000,-0.61785950
110.700000,-0.54787571
110.800000,-0.25290516
110.900000,-0.32516631
111.000000,-0.24566557
111.100000,-0.52147278
111.200000,-0.65822577
111.300000,-0.53742503
111.400000,-0.48143773
111.500000,-0.47595144
111.600000,-0.32428080
111.700000,-0.55370777
111.800000,-0.44020288
111.900000,-0.64981006
112.000000,-0.44330120
112.100000,-0.49596453
112.200000,-0.59823256
112.300000,-0.51385636
112.400000,-0.49494059
112.500000,-0.53150484
112.600000,-0.20897436
112.700000,-0.48467770
112.800000,-0.49430584
112.900000,-0.76763312
113.000000,-0.58649948
113.100000,-0.49507311
113.200000,-0.55402426
113.300000,-0.24757120
113.400000,-0.46909349
113.500000,-0.27006366
113.600000,-0.46051352
113.700000,-0.43958716
113.800000,-0.46594376
113.900000,-0.45485906
114.000000,-0.20814022
114.100000,-0.80981093
114.200000,-0.77087637
114.300000,-0.55428746
114.400000,-0.46038625
114.500000,-0.36737493
114.600000,-0.39040418
114.700000,-0.50907740
114.800000,-0.28586449
114.900000,-0.28244524
115.000000,-0.37041076
115.100000,-0.24090640
115.200000,-0.34044971
115.300000,-0.47602005
115.400000,-0.28822978
115.500000,-0.35913441
115.600000,-0.35495099
115.700000,-0.11640898
115.800000,-0.69550053
115.900000,-0.55553026
116.000000,-0.51503225
116.100000,-0.40629762
116.200000,-0.40778940
116.300000,-0.59276712
116.400000,-0.50810358
116.500000,-0.47855560
116.600000,0.02520990
116.700000,-0.06670339
116.800000,-0.41048293
116.900000,-0.40445773
117.000000,-0.54032624
117.100000,-0.67814563
117.200000,-0.40051038
117.300000,-0.54163364
117.400000,-0.39415344
117.500000,-0.60809657
117.600000,-0.48973367
117.700000,-0.34599970
117.800000,-0.32123621
117.900000,-0.33563740
118.000000,-0.59479183
118.100000,-0.27410611
118.200000,-0.52756179
118.300000,-0.28883723
118.400000,-0.40361200
118.500000,-0.60381987
118.600000,-0.45666909
118.700000,-0.34347574
118.800000,-0.30269432
118.900000,-0.41117518
119.000000,-0.17153883
119.100000,-0.25930611
119.200000,-0.43774383
119.300000,-0.26541787
119.400000,-0.08204343
119.500000,-0.08874881
119.600000,-0.56289422
119.700000,-0.48848454
119.800000,-0.12547768
119.900000,-0.48935557
